"id"	"item_no"	"use_item_no"	"use_item_count"	"use_item_measure"	"fixed_use"	"vari_use"	"fixed_use_assist"	"vari_use_assist"	"item_measure_assist"	"use_item_type"	"created_by"	"created_time"	"updated_by"	"updated_time"
"005e96c45c9e4e0da9541860f82181a4"	"600957"	"600940"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:22"		"2/8/2025 18:42:20"
"0064873c08474f7cae8c01c9a7e008c1"	"601238"	"100914"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:22"		"2/8/2025 18:42:20"
"00654c4723d94fa1ac96135ae07998f1"	"602114"	"615224"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:24"		"2/8/2025 18:42:20"
"0069c8d0ed344abdb098b7c74afd8403"	"601977"	"600376"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:23"		"2/8/2025 18:42:20"
"006fe3d82e824284b38a5355540afe9f"	"614855"	"300792"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:25"		"2/8/2025 18:42:20"
"0071179157e44c5897d3a2cbb0053337"	"600491"	"600489"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:22"		"2/8/2025 18:42:20"
"007615360c3647d6a00df4b63eaf5a81"	"614105"	"400259"	"1"	"公斤"	"1"	"0"	"0"	"0"	"根"	"00"		"2/8/2025 18:42:23"		"2/8/2025 18:42:20"
"0079d331a2d14dd083fc8c9fb7dfa6cc"	"650118"	"300355"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:25"		"2/8/2025 18:42:20"
"007a8be56c064d188c9e21144f75c6f6"	"601198"	"601197"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:22"		"2/8/2025 18:42:20"
"007bfee807fb43cdb7c4d97f0113bdbd"	"602520"	"300050"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:25"		"2/8/2025 18:42:20"
"008122846bbe47eb85125253a30d638a"	"616148"	"616147"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:28"		"2/8/2025 18:42:20"
"0081d390a4a44783a34fa4b9ce4e5989"	"601585"	"601371
"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:24"		"2/8/2025 18:42:20"
"0082949630ca4973aa93d4eaf93e2caa"	"614907"	"614910"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:24"		"2/8/2025 18:42:20"
"0085e3f4ba084802a1ee34b9c5de25e0"	"600427"	"600068"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:22"		"2/8/2025 18:42:20"
"00876df95ab64ba99c85f8994cd2384a"	"600046"	"600041"	"1"	"个"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:21"		"2/8/2025 18:42:20"
"00894d07a1414ecaa299a1e84a2a5534"	"615725"	"100438"	"1"	"个"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:27"		"2/8/2025 18:42:20"
"0093938f6c334192a6c53b7e105ceb28"	"602224"	"600933"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:25"		"2/8/2025 18:42:20"
"009524a8c4884e169170c1dc50ccefc5"	"600651"	"600698"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:22"		"2/8/2025 18:42:20"
"0095ab4a8f8c499298354c7804bd7a25"	"602250"	"100438"	"1"	"个"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:25"		"2/8/2025 18:42:20"
"00973cc8003d4216ab5dcaf09d9448f2"	"602604"	"300312"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:26"		"2/8/2025 18:42:20"
"00993e293b62486b8ded9cb4326a28e8"	"616871"	"600936"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:27"		"2/8/2025 18:42:20"
"009a19d2009040efbed01d7df5ea7379"	"615705"	"600464"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:27"		"2/8/2025 18:42:20"
"009edf83a05042c58866e76bb8f9125c"	"605339"	"601926"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:25"		"2/8/2025 18:42:20"
"00a461e20d7a49b7a4e4ac5a4c5b0f90"	"614922"	"614409
"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:23"		"2/8/2025 18:42:20"
"00a6fa0059174efcb0532796dab322f7"	"615012"	"400412"	"1"	"公斤"	"1"	"0"	"0"	"0"	"张"	"00"		"2/8/2025 18:42:25"		"2/8/2025 18:42:20"
"00a7d4704b9d4ada9328fcfd2d954d0e"	"602362
"	"650026"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:26"		"2/8/2025 18:42:20"
"00aae8c895d14d6cbb27c42381ea710c"	"615715"	"300049"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:27"		"2/8/2025 18:42:20"
"00ae82dfbce140f4b617b9c92506187c"	"602691"	"300050"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:25"		"2/8/2025 18:42:20"
"00aedac4c3a94a108d42be92b23ec789"	"600035"	"600032"	"1"	"根"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:21"		"2/8/2025 18:42:20"
"00b1bcd599544cf8b6a47b0243a8400c"	"616329"	"400500"	"1"	"公斤"	"1"	"0"	"0"	"0"	"张"	"00"		"2/8/2025 18:42:28"		"2/8/2025 18:42:20"
"00b2347e01f74e3f8096b5d4c039f228"	"602424
"	"601342
"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:26"		"2/8/2025 18:42:20"
"00b2bc571c99440680010a417f15fef1"	"601102"	"601094"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:22"		"2/8/2025 18:42:20"
"00b5fa8a897e4836b149506592271083"	"616055"	"600157"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:27"		"2/8/2025 18:42:20"
"00bbaea64fa24e01b9389ac1ac938393"	"600321"	"100911"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:22"		"2/8/2025 18:42:20"
"00bd55e1c01042d0979aff404c6dd2a9"	"616848"	"601594
"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:27"		"2/8/2025 18:42:20"
"00c5cfa1daaa4e55a001cccd6fd99c4c"	"602086"	"400035"	"1"	"公斤"	"1"	"0"	"0"	"0"	"张"	"00"		"2/8/2025 18:42:25"		"2/8/2025 18:42:20"
"00ce23aa2e364d54864710aac84b4308"	"616707"	"102646"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:27"		"2/8/2025 18:42:20"
"00d0c0ce50cb43948b92c99fb9bfe437"	"615689"	"615217"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:27"		"2/8/2025 18:42:20"
"00d20dd2afa44a9da73a799bcc56d158"	"600680"	"400038"	"1"	"公斤"	"1"	"0"	"0"	"0"	"张"	"00"		"2/8/2025 18:42:22"		"2/8/2025 18:42:20"
"00d76d1b5fda4bb3b8323bb36f617ca1"	"615717"	"602508"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:27"		"2/8/2025 18:42:20"
"00d930b8ad7e41559083072f01750222"	"601800"	"601779
"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:24"		"2/8/2025 18:42:20"
"00da8429f87c4315bf2c629d106c47dd"	"601264"	"600083"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:23"		"2/8/2025 18:42:20"
"00dc1147e47e4102846d400f80cea5e6"	"601388
"	"600148
"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:24"		"2/8/2025 18:42:20"
"00e1b7bf860344e699966e19a0238806"	"602372
"	"400190"	"1"	"公斤"	"1"	"0"	"0"	"0"	"张"	"00"		"2/8/2025 18:42:25"		"2/8/2025 18:42:20"
"00e5c0b1cc9b44b4a7873503da107bc0"	"616879"	"400412"	"1"	"公斤"	"1"	"0"	"0"	"0"	"张"	"00"		"2/8/2025 18:42:21"		"2/8/2025 18:42:20"
"00e7933a08244d69896bc4bdb2b286fa"	"615707"	"400033"	"1"	"公斤"	"1"	"0"	"0"	"0"	"张"	"00"		"2/8/2025 18:42:28"		"2/8/2025 18:42:20"
"00f0505bec86474a86447200a4b0bc5c"	"601571"	"400323"	"1"	"公斤"	"1"	"0"	"0"	"0"	"张"	"00"		"2/8/2025 18:42:22"		"2/8/2025 18:42:20"
"00f1f3824b58435f9d40e16e896174da"	"614864"	"400354"	"1"	"公斤"	"1"	"0"	"0"	"0"	"张"	"00"		"2/8/2025 18:42:25"		"2/8/2025 18:42:20"
"00f4f04b473b4539b2f57857f442ae09"	"601586"	"601582
"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:24"		"2/8/2025 18:42:20"
"00fa2880d8e948118976d77c0b2fd7ed"	"615006"	"615002"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:25"		"2/8/2025 18:42:20"
"00ffba3f86424eaa97b4b0fe298d945c"	"602291"	"601234"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:26"		"2/8/2025 18:42:20"
"010073bf697a4acd8a4da1f568b74c73"	"615925"	"615913"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:27"		"2/8/2025 18:42:20"
"01045f2fd0524d1c87bb684c200c8a3a"	"615766"	"101105"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:26"		"2/8/2025 18:42:20"
"0107cd4c140c45a1af4a4011b7a2e764"	"600369"	"400190"	"1"	"千克"	"1"	"0"	"0"	"0"	"张"	"00"		"2/8/2025 18:42:22"		"2/8/2025 18:42:20"
"010edcaad3034366be72559153ee03d7"	"615265"	"400452"	"1"	"公斤"	"1"	"0"	"0"	"0"	"根"	"00"		"2/8/2025 18:42:25"		"2/8/2025 18:42:20"
"0113adac4e01407699a6023dcfc999e1"	"600238"	"600222"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:21"		"2/8/2025 18:42:20"
"011568b4456243688ce02e4721190144"	"601016"	"400191"	"1"	"千克"	"1"	"0"	"0"	"0"	"张"	"00"		"2/8/2025 18:42:23"		"2/8/2025 18:42:20"
"01164c6ff3ad4d21b51984df70f98032"	"602179"	"680001"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:24"		"2/8/2025 18:42:20"
"011846e1a17046849d749f418c09f9d7"	"602291"	"101564"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:26"		"2/8/2025 18:42:20"
"0119615e5f834418a7096fc44d077992"	"615766"	"101098"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:27"		"2/8/2025 18:42:20"
"011a56647a8f45dc9cc745d27e898863"	"615586"	"400589"	"1"	"公斤"	"1"	"0"	"0"	"0"	"张"	"00"		"2/8/2025 18:42:27"		"2/8/2025 18:42:20"
"011d8a84f7fa4cf29223a81ab85bb527"	"600828"	"300411"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:22"		"2/8/2025 18:42:20"
"011f6227fc5547cebaf7bd70033ccc57"	"614239
"	"400288"	"1"	"公斤"	"1"	"0"	"0"	"0"	"张"	"00"		"2/8/2025 18:42:24"		"2/8/2025 18:42:20"
"0122c0c83293435eaf05c23b3e1b1b15"	"615958"	"615931"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:27"		"2/8/2025 18:42:20"
"012633602a0d4737bd183ac34a0955ad"	"602656"	"400038"	"1"	"公斤"	"1"	"0"	"0"	"0"	"张"	"00"		"2/8/2025 18:42:24"		"2/8/2025 18:42:20"
"012978b1169b417ba81def4120cf5368"	"601969"	"600020"	"1"	"个"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:24"		"2/8/2025 18:42:20"
"0129848b554145ecae735fe6ad4e3850"	"616195"	"616193
"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:28"		"2/8/2025 18:42:20"
"012bc3ef04c64a6e9722d1362f02ea82"	"614389"	"614379
"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:23"		"2/8/2025 18:42:20"
"0132f42303684c12a5c84c6e43c32e9c"	"615841"	"300777"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:27"		"2/8/2025 18:42:20"
"0137d5a54f0c4101bdb02b6af1a006d1"	"605417"	"400353"	"1"	"公斤"	"1"	"0"	"0"	"0"	"张"	"00"		"2/8/2025 18:42:25"		"2/8/2025 18:42:20"
"0140c7301a3c41be80d738bfcfc9a9bb"	"602221"	"400191"	"1"	"公斤"	"1"	"0"	"0"	"0"	"张"	"00"		"2/8/2025 18:42:24"		"2/8/2025 18:42:20"
"01414a094a86487fbbf7cdd862baa2d9"	"602537"	"400407"	"1"	"公斤"	"1"	"0"	"0"	"0"	"张"	"00"		"2/8/2025 18:42:26"		"2/8/2025 18:42:20"
"0142d14cdc7f4ed5a7d81011a24cd27a"	"600604"	"600826"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:23"		"2/8/2025 18:42:20"
"0146c62232ac472392c003bfc464dad5"	"616595"	"400332"	"1"	"公斤"	"1"	"0"	"0"	"0"	"张"	"00"		"2/8/2025 18:42:21"		"2/8/2025 18:42:20"
"01480a4ff80b46bd8366e7f5e1b8aa75"	"602252"	"601037"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:25"		"2/8/2025 18:42:20"
"014a06e6f54e4c26afc41bde6a81d2f6"	"614313
"	"400500"	"1"	"公斤"	"1"	"0"	"0"	"0"	"张"	"00"		"2/8/2025 18:42:23"		"2/8/2025 18:42:20"
"0155e35792194783aaa1d9bfe961cd52"	"602578"	"602574"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:26"		"2/8/2025 18:42:20"
"0156d35e0b694262838f0ce98782ba84"	"614835"	"614820"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:24"		"2/8/2025 18:42:20"
"015a1f6c89384cbc86c7d85d08bd0aa5"	"616119"	"615659"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:28"		"2/8/2025 18:42:20"
"015c67b3f1c046b992b90b5a9023a3cd"	"601599"	"601602
"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:24"		"2/8/2025 18:42:20"
"016f91cbaf664176826f82fab02d1560"	"600414"	"600413"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:22"		"2/8/2025 18:42:20"
"017333d3a2c04ac5a590f73d23dc9d59"	"616054"	"602545"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:27"		"2/8/2025 18:42:20"
"0174313e91b84c678a28a02cd6be1b1e"	"602602"	"600176"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:26"		"2/8/2025 18:42:20"
"0178a6c343834196a8d0770c71e9171c"	"601471"	"601467"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:24"		"2/8/2025 18:42:20"
"017e4befc8ce4093bb582e9a9ec738ae"	"602495"	"612151"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:26"		"2/8/2025 18:42:20"
"0194cf61816c448dade22adb8d2ebbc8"	"614368"	"614249
"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:24"		"2/8/2025 18:42:20"
"019686164ac3412b9199bcd0509b5b83"	"616052"	"100920"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:27"		"2/8/2025 18:42:20"
"019af4ecad2a4d11b1f3343842730e1f"	"600456"	"300050"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:22"		"2/8/2025 18:42:20"
"019b55df3b8148d98c3e20146abc13b3"	"601238"	"101733"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:23"		"2/8/2025 18:42:20"
"01a003a131644fc588ed160ce16afb81"	"601093"	"101587"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:23"		"2/8/2025 18:42:20"
"01a4e3a651a445c8b6712cb1a3b9aecb"	"616862"	"400035"	"1"	"公斤"	"1"	"0"	"0"	"0"	"张"	"00"		"2/8/2025 18:42:27"		"2/8/2025 18:42:20"
"01aabbc72f52497c87d29e5835e7d623"	"601632"	"400038"	"1"	"公斤"	"1"	"0"	"0"	"0"	"张"	"00"		"2/8/2025 18:42:24"		"2/8/2025 18:42:20"
"01afd720c9e24969bfdfd3d79b3039b0"	"615471"	"602176"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:26"		"2/8/2025 18:42:20"
"01b128e70f5e41d686cf7ffba862c716"	"602786"	"602029"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:27"		"2/8/2025 18:42:20"
"01b14b98d6c84d0bb83a101e2763a39c"	"601894"	"614018"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:23"		"2/8/2025 18:42:20"
"01b58b548b4c43ae8b9b394863c75bb2"	"600321"	"600283"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:22"		"2/8/2025 18:42:20"
"01b62bc879bf4dd0a089ec93a6047d7d"	"600107"	"600100"	"1"	"个"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:22"		"2/8/2025 18:42:20"
"01bba0ce4983408393c89df1f0e2a356"	"600955"	"400430"	"1"	"千克"	"1"	"0"	"0"	"0"	"张"	"00"		"2/8/2025 18:42:23"		"2/8/2025 18:42:20"
"01c03d7f81ea43ee9144f9525506cb8e"	"616532"	"616534"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:27"		"2/8/2025 18:42:20"
"01c05b4c211a4ffe8d142561f4069adc"	"616855"	"600582"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:27"		"2/8/2025 18:42:20"
"01cc2d353bb440ed8a823ed5c964f8c7"	"605468"	"600679"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:25"		"2/8/2025 18:42:20"
"01ce8a43126f41b0af1ce07c260186e2"	"600572"	"600562"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:22"		"2/8/2025 18:42:20"
"01cfb94732ca4a60a25d0ad7790dee4f"	"612100"	"600986"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:23"		"2/8/2025 18:42:20"
"01d073f62cb24acdb2cd7d5c87c4ff7b"	"601298"	"600176"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:24"		"2/8/2025 18:42:20"
"01d14a439ff3409ea64a79c5f52d05d3"	"600651"	"600689"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:22"		"2/8/2025 18:42:20"
"01d6b48cf59e43278fd841db573adb01"	"616215"	"400500"	"1"	"公斤"	"1"	"0"	"0"	"0"	"张"	"00"		"2/8/2025 18:42:28"		"2/8/2025 18:42:20"
"01d94785bfaf43f6978fa95039155a87"	"650002"	"600004"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:23"		"2/8/2025 18:42:20"
"01d9df7d26474a15993c6544051924a1"	"650116"	"600097"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:25"		"2/8/2025 18:42:20"
"01df02245b124098aa3a7d6ceb72371f"	"602371
"	"602370
"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:25"		"2/8/2025 18:42:20"
"01e72d1350664bdcb7d235415a963be0"	"600964"	"101741"	"1"	"个"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:22"		"2/8/2025 18:42:20"
"01e9fc5dba584613b253a257d4d4330b"	"615985"	"616005"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:26"		"2/8/2025 18:42:20"
"01ea313df86d474383df17886401b2b9"	"601215"	"600838"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:23"		"2/8/2025 18:42:20"
"01ed36cec0f740ae890a6e38977768c0"	"616391"	"400323"	"1"	"公斤"	"1"	"0"	"0"	"0"	"张"	"00"		"2/8/2025 18:42:28"		"2/8/2025 18:42:20"
"02011662a169477ba269900f99d1faa0"	"602281"	"600140"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:26"		"2/8/2025 18:42:20"
"02047a55d4814610a587d50535d2001f"	"615575"	"602545"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:27"		"2/8/2025 18:42:20"
"020a50065bce4a0f86e383f476b324e2"	"616774"	"101563"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:27"		"2/8/2025 18:42:20"
"020d478beb6b43a88b5265f56357567f"	"615622
"	"615621"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"01"		"2/8/2025 18:42:27"		"2/8/2025 18:42:20"
"020f43200ecf402d84f2b299e0978745"	"600430"	"300049"	"1"	"件"	"1"	"0"	"0"	"0"	" "	"00"		"2/8/2025 18:42:22"		"2/8/2025 18:42:20"
